run,seed,accuracy,precision,recall,early_stopping
0,357,0.9324,0.945,0.9145,82
1,900,0.8953,0.9518,0.8896,59
2,311,0.9003,0.9166,0.8805,87
3,74,0.8851,0.9052,0.8846,88
4,307,0.8868,0.9265,0.8569,71
5,529,0.8834,0.9417,0.8626,91
6,834,0.8919,0.8921,0.8452,88
7,606,0.8851,0.9306,0.9052,90
8,410,0.9003,0.9482,0.876,90
9,51,0.9071,0.9339,0.8719,112
10,547,0.8936,0.9254,0.8625,114
11,438,0.9122,0.9237,0.8867,76
12,613,0.8936,0.917,0.9004,86
13,357,0.9139,0.9224,0.9029,69
14,527,0.9054,0.953,0.9007,71
15,735,0.902,0.9364,0.8863,85
16,918,0.897,0.8945,0.8468,102
17,500,0.9105,0.9136,0.8896,73
18,483,0.8936,0.9382,0.8633,97
19,719,0.924,0.9466,0.9059,94
20,742,0.8953,0.9447,0.8672,84
21,791,0.9122,0.9525,0.8768,78
22,528,0.9105,0.9478,0.899,93
23,496,0.8902,0.9039,0.8514,68
24,575,0.9088,0.9345,0.8847,86
25,500,0.9274,0.9689,0.9095,88
26,391,0.8801,0.9331,0.8563,80
27,393,0.8986,0.9399,0.8826,83
28,805,0.9037,0.9331,0.9003,68
29,945,0.8953,0.9293,0.8603,92
30,313,0.8986,0.9279,0.8559,109
31,576,0.8818,0.9156,0.8348,70
32,276,0.8801,0.8939,0.8469,69
33,167,0.8716,0.9209,0.8351,89
34,575,0.902,0.9296,0.8929,82
35,910,0.8953,0.9304,0.8458,72
36,585,0.8598,0.9011,0.8214,57
37,718,0.9172,0.9223,0.9012,77
38,74,0.875,0.9123,0.8696,65
39,816,0.8919,0.9239,0.8579,80
40,113,0.9037,0.9298,0.8837,84
41,22,0.8936,0.9157,0.847,61
42,301,0.8818,0.9354,0.8654,77
43,92,0.8851,0.9038,0.8291,76
44,97,0.8834,0.8764,0.8392,100
45,970,0.9122,0.9617,0.9141,98
46,264,0.8953,0.936,0.8744,107
47,902,0.8733,0.8736,0.8177,82
48,134,0.8818,0.8592,0.8088,97
49,468,0.8632,0.8824,0.8247,59
