run,seed,accuracy,precision,recall,ntree_limit
8,883,0.9223,0.9234,0.8861,13
10,750,0.924,0.9065,0.874,13
6,780,0.9375,0.9291,0.9057,15
7,466,0.9358,0.9031,0.8873,15
12,822,0.8986,0.8364,0.8249,16
13,409,0.9443,0.939,0.907,16
16,773,0.9307,0.935,0.9161,19
18,551,0.9358,0.9305,0.899,17
2,318,0.9459,0.9202,0.9052,27
1,571,0.9189,0.9018,0.9016,27
0,345,0.9426,0.9352,0.9211,22
4,316,0.9324,0.8888,0.8755,28
11,388,0.9409,0.9406,0.911,25
9,58,0.9426,0.9392,0.924,26
15,599,0.951,0.9524,0.9248,26
5,781,0.973,0.9737,0.9406,30
14,512,0.9257,0.9089,0.9102,26
3,376,0.9341,0.8897,0.8867,33
17,555,0.924,0.9031,0.8752,24
19,794,0.9409,0.9355,0.9343,35
20,407,0.9172,0.8685,0.8511,8
35,895,0.9122,0.9161,0.9139,7
34,43,0.9223,0.9245,0.9186,12
22,155,0.9358,0.9269,0.9045,15
24,118,0.9358,0.9165,0.935,16
26,359,0.902,0.8781,0.8373,18
31,273,0.9307,0.8612,0.8739,19
21,873,0.9409,0.9226,0.9207,25
37,693,0.9274,0.9061,0.8987,18
29,38,0.9392,0.9116,0.9002,21
23,310,0.9426,0.9636,0.927,18
27,879,0.9172,0.9015,0.8599,23
36,855,0.9274,0.909,0.8687,21
33,285,0.9358,0.92,0.9002,23
28,606,0.9324,0.9306,0.8971,25
38,701,0.9426,0.9387,0.915,22
39,151,0.9155,0.8793,0.8925,23
25,132,0.9274,0.8961,0.8813,29
30,548,0.9392,0.9363,0.9137,27
32,491,0.9426,0.9505,0.8995,31
40,464,0.9291,0.9314,0.9182,10
42,493,0.9392,0.9288,0.8952,11
41,698,0.9291,0.9023,0.8984,26
49,984,0.9088,0.8885,0.8613,13
45,210,0.9459,0.9481,0.9276,16
43,748,0.9459,0.9153,0.8981,23
46,593,0.9324,0.912,0.9061,23
48,821,0.9341,0.9293,0.9036,21
44,912,0.9493,0.9311,0.9165,26
47,611,0.9341,0.8861,0.8833,25
